epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4531,2.24447,4.3129,1.68832,0,0,0,0,1.82616,4.55593,1.55976,0.000161846,0.000161846,0.000161846
2,33.6101,1.97025,4.00849,1.54415,0.07135,0.19157,0.06434,0.03774,1.6349,4.41686,1.39682,0.000333841,0.000333841,0.000333841
3,50.1064,1.89565,3.74068,1.59372,0.02766,0.69989,0.1868,0.09924,1.50353,4.28175,1.41337,0.000502365,0.000502365,0.000502365
4,66.5717,1.82144,3.5321,1.58139,0.01775,0.78646,0.21155,0.12131,1.50903,4.1681,1.41651,0.000510378,0.000510378,0.000510378
5,82.9905,1.75863,3.19159,1.52669,0.83571,0.04797,0.25195,0.15012,1.46734,3.85199,1.41123,0.00050517,0.00050517,0.00050517
6,99.5826,1.70496,3.10402,1.53155,0.79605,0.08129,0.30975,0.17762,1.49679,3.64391,1.4504,0.000499963,0.000499963,0.000499963
7,117.984,1.63388,2.79666,1.49061,0.53502,0.27634,0.39735,0.23189,1.56855,3.21855,1.5122,0.000494756,0.000494756,0.000494756
8,136.127,1.61302,2.67993,1.48117,0.51131,0.35126,0.44468,0.27128,1.49199,3.08731,1.48427,0.000489548,0.000489548,0.000489548
9,153.186,1.57283,2.54202,1.45432,0.55975,0.39357,0.471,0.27892,1.49818,2.88389,1.50627,0.000484341,0.000484341,0.000484341
10,169.346,1.58071,2.42963,1.45812,0.52209,0.51293,0.56498,0.33099,1.43915,2.44185,1.52026,0.000479133,0.000479133,0.000479133
11,186.119,1.49412,2.25898,1.43596,0.53058,0.62518,0.61649,0.36565,1.37905,2.21912,1.50108,0.000473926,0.000473926,0.000473926
12,203.452,1.42949,2.11654,1.4392,0.54309,0.64953,0.64211,0.37278,1.40509,2.13072,1.54714,0.000468719,0.000468719,0.000468719
13,220.833,1.3758,2.0122,1.35937,0.66109,0.67646,0.72287,0.41174,1.3774,1.99748,1.55991,0.000463511,0.000463511,0.000463511
14,237.627,1.37901,1.91531,1.40718,0.71372,0.70782,0.7449,0.4536,1.33495,1.94412,1.50778,0.000458304,0.000458304,0.000458304
