epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2015,0.92081,3.29808,1.34249,0.22507,0.389,0.24949,0.17548,0.60707,2.81734,1.11821,9.79044e-05,9.79044e-05,9.79044e-05
2,135.875,0.80019,2.36123,1.2376,0.23397,0.60446,0.37407,0.26865,0.56997,2.15321,1.08006,0.00018944,0.00018944,0.00018944
3,203.959,0.76932,2.04253,1.20114,0.52244,0.47438,0.49016,0.34997,0.59108,1.7981,1.10452,0.000274507,0.000274507,0.000274507
4,271.978,0.74682,1.85117,1.17601,0.38206,0.64286,0.5316,0.37471,0.5577,1.59023,1.05913,0.000264894,0.000264894,0.000264894
5,339.616,0.72268,1.70096,1.15855,0.48655,0.66997,0.60806,0.44357,0.53444,1.41586,1.04775,0.000255192,0.000255192,0.000255192
6,407.882,0.70026,1.59537,1.14478,0.59683,0.64678,0.62578,0.46006,0.51618,1.35844,1.0338,0.00024549,0.00024549,0.00024549
7,477.751,0.69057,1.52252,1.1387,0.61999,0.63755,0.6438,0.47761,0.51957,1.38059,1.04247,0.000235788,0.000235788,0.000235788
8,547.518,0.6802,1.46366,1.13372,0.57673,0.70973,0.70175,0.51408,0.50831,1.2059,1.02535,0.000226086,0.000226086,0.000226086
9,615.336,0.66599,1.41481,1.12136,0.55453,0.75638,0.69831,0.52488,0.50226,1.13301,1.01905,0.000216384,0.000216384,0.000216384
10,683.863,0.66232,1.36842,1.11543,0.57566,0.78366,0.73207,0.54865,0.50375,1.09269,1.01639,0.000206682,0.000206682,0.000206682
11,752.553,0.64825,1.32796,1.10743,0.51452,0.76846,0.70612,0.53422,0.50665,1.10233,1.02311,0.00019698,0.00019698,0.00019698
12,821.502,0.64869,1.29435,1.10679,0.63135,0.76924,0.74738,0.57179,0.48661,1.00921,1.00274,0.000187278,0.000187278,0.000187278
13,889.744,0.63978,1.25903,1.10195,0.52061,0.7363,0.71163,0.54889,0.48585,1.03059,1.00125,0.000177576,0.000177576,0.000177576
14,957.878,0.62679,1.24312,1.09568,0.66143,0.72571,0.7415,0.5675,0.48745,1.03232,1.00186,0.000167874,0.000167874,0.000167874
15,1025.88,0.61739,1.20278,1.0921,0.63502,0.69482,0.73249,0.55901,0.48205,1.00592,0.99926,0.000158172,0.000158172,0.000158172
16,1094.96,0.61187,1.186,1.08561,0.65046,0.69496,0.7395,0.57413,0.46821,0.97568,0.98345,0.00014847,0.00014847,0.00014847
17,1163.78,0.60569,1.16996,1.08094,0.62562,0.75298,0.75384,0.59129,0.46226,0.96315,0.98279,0.000138768,0.000138768,0.000138768
18,1233.06,0.60435,1.14892,1.08308,0.63106,0.74731,0.74909,0.59039,0.45949,0.9714,0.98571,0.000129066,0.000129066,0.000129066
19,1303.82,0.59441,1.1273,1.07494,0.67343,0.77999,0.80171,0.61903,0.45755,0.96134,0.97957,0.000119364,0.000119364,0.000119364
20,1373.18,0.5921,1.11451,1.07709,0.64109,0.75601,0.77044,0.61036,0.45156,0.93617,0.97894,0.000109662,0.000109662,0.000109662
21,1443.94,0.5128,0.8321,1.04249,0.64265,0.8172,0.79098,0.61483,0.44926,0.96111,0.97437,9.996e-05,9.996e-05,9.996e-05
22,1513.49,0.50142,0.7986,1.03092,0.65692,0.79197,0.79232,0.63201,0.44781,0.90876,0.97112,9.0258e-05,9.0258e-05,9.0258e-05
23,1582.29,0.49227,0.77184,1.02614,0.6632,0.81842,0.80188,0.64571,0.44317,0.92853,0.96522,8.0556e-05,8.0556e-05,8.0556e-05
24,1650.85,0.48144,0.74082,1.01341,0.66949,0.83475,0.81131,0.64154,0.44153,0.90484,0.96664,7.0854e-05,7.0854e-05,7.0854e-05
25,1720.35,0.47514,0.71618,1.00882,0.67727,0.80951,0.81465,0.64841,0.43767,0.90845,0.96353,6.1152e-05,6.1152e-05,6.1152e-05
26,1788.51,0.4673,0.68884,1.00208,0.70194,0.83045,0.82037,0.65368,0.43659,0.9082,0.96233,5.145e-05,5.145e-05,5.145e-05
27,1856.64,0.45951,0.65978,0.99717,0.70166,0.83475,0.83247,0.66116,0.43407,0.89381,0.96069,4.1748e-05,4.1748e-05,4.1748e-05
28,1924.85,0.45233,0.63877,0.99629,0.7277,0.82978,0.83587,0.67377,0.43178,0.90531,0.95923,3.2046e-05,3.2046e-05,3.2046e-05
29,1992.69,0.44917,0.63566,0.99072,0.72207,0.83677,0.83747,0.68147,0.43457,0.89189,0.95871,2.2344e-05,2.2344e-05,2.2344e-05
30,2060.63,0.4439,0.61824,0.98898,0.73639,0.82608,0.84115,0.68206,0.43057,0.88551,0.95661,1.2642e-05,1.2642e-05,1.2642e-05
